season,week,game_id,kickoff,kickoff_mt,team,team_side,player_rank,player_id,player_name,jersey_number,games_sampled,projected_sacks,projected_qb_hits,projected_tfl,projected_blocked_punts,projected_loss_yards,penalties_per_game,penalty_count,penalty_yards
2026,2,2026_02_PIT_NE,2026-09-20 23:00:00+00:00,2026-09-20 17:00 MDT,PIT,away,7,00-0039110,K.Benton,95.0,20,0.38,1.4,0.45,0.0,6.05,1.0,3,13.0
2026,2,2026_02_PIT_NE,2026-09-20 23:00:00+00:00,2026-09-20 17:00 MDT,PIT,away,8,00-0040160,J.Sawyer,33.0,4,0.25,1.5,0.75,0.0,5.75,1.0,1,5.0
2026,2,2026_02_PIT_NE,2026-09-20 23:00:00+00:00,2026-09-20 17:00 MDT,PIT,away,9,00-0036504,B.Echols,26.0,4,0.25,0.5,0.75,0.0,4.5,1.5,3,28.0
2026,2,2026_02_PIT_NE,2026-09-20 23:00:00+00:00,2026-09-20 17:00 MDT,PIT,away,10,00-0039167,J.Porter,24.0,4,0.25,0.0,0.75,0.0,2.25,1.714,24,257.0
2026,2,2026_02_GB_NYJ,2026-09-20 23:00:00+00:00,2026-09-20 17:00 MDT,NYJ,home,1,00-0039142,W.McDonald,9.0,29,0.74,1.66,0.86,0.0,10.84,1.25,5,21.0
2026,2,2026_02_GB_NYJ,2026-09-20 23:00:00+00:00,2026-09-20 17:00 MDT,NYJ,home,2,00-0039284,B.McGregor,55.0,2,0.5,1.0,0.5,0.0,1.0,1.0,1,5.0
2026,2,2026_02_GB_NYJ,2026-09-20 23:00:00+00:00,2026-09-20 17:00 MDT,NYJ,home,3,00-0039431,J.Briggs,91.0,9,0.44,1.11,0.89,0.0,7.89,1.0,2,10.0
2026,2,2026_02_GB_NYJ,2026-09-20 23:00:00+00:00,2026-09-20 17:00 MDT,NYJ,home,4,00-0036500,J.Sherwood,44.0,21,0.21,0.38,1.05,0.0,4.81,1.0,6,39.0
2026,2,2026_02_GB_NYJ,2026-09-20 23:00:00+00:00,2026-09-20 17:00 MDT,NYJ,home,5,00-0034782,H.Phillips,97.0,7,0.07,0.14,0.71,0.0,1.43,0.0,0,0.0
2026,2,2026_02_GB_NYJ,2026-09-20 23:00:00+00:00,2026-09-20 17:00 MDT,NYJ,home,6,00-0036987,B.Stephens,21.0,3,0.0,0.0,1.33,0.0,2.33,1.0,3,42.0
2026,2,2026_02_GB_NYJ,2026-09-20 23:00:00+00:00,2026-09-20 17:00 MDT,NYJ,home,7,00-0036941,A.Cisco,8.0,1,0.0,0.0,1.0,0.0,1.0,0.0,0,0.0
2026,2,2026_02_GB_NYJ,2026-09-20 23:00:00+00:00,2026-09-20 17:00 MDT,NYJ,home,8,00-0039372,J.Brownlee,2.0,1,0.0,0.0,1.0,0.0,1.0,1.75,7,51.0
2026,2,2026_02_GB_NYJ,2026-09-20 23:00:00+00:00,2026-09-20 17:00 MDT,NYJ,home,9,00-0040165,M.Moore,27.0,3,0.0,0.0,1.0,0.0,2.0,1.0,1,5.0
2026,2,2026_02_GB_NYJ,2026-09-20 23:00:00+00:00,2026-09-20 17:00 MDT,NYJ,home,10,00-0040133,A.Thomas,1.0,2,0.0,0.0,1.0,0.0,1.5,1.0,3,39.0
2026,2,2026_02_GB_NYJ,2026-09-20 23:00:00+00:00,2026-09-20 17:00 MDT,GB,away,1,00-0038463,B.Cox,57.0,6,0.83,1.67,1.0,0.0,14.5,1.0,1,16.0
