feature,model_importance,permutation_importance,permutation_std
snaps_defense_snaps_prev_diff,0.0055025434,-0.001527007145598791,0.0013270911777742195
passing_yds_per_att_diff,0.0034808351,-0.0015706513406662514,0.0010330578658127988
snaps_defense_pct_pct_change_diff,0.0047165966,-0.001578868117192722,0.0003309249185318138
inj_practice_limited_diff,0.0022255364,-0.0018479554018858923,0.0012660968802438407
epa_allowed_diff,0.016656294,-0.0018989461143068542,0.001695729666110289
inj_doubtful_rolling3_diff,0.0032383383,-0.001940673250387559,0.0015158411616910427
receiving_recfum_diff,0.0030166511,-0.002021384749285771,0.002524262918041516
inj_practice_full_prev_diff,0.0026055067,-0.002180843945959232,0.0033098726144234415
snaps_offense_pct_diff,0.0053381748,-0.0021888987602032505,0.0023931983903976444
rushing_20+_diff,0.0028187884,-0.0022435542756642723,0.0017998167058716178
passing_td_diff,0.0039402386,-0.002555322865822873,0.0005774636921160167
receiving_lng_diff,0.0034443669,-0.002585642259570098,0.001472802452159235
snaps_offense_snaps_delta_diff,0.0069052647,-0.002593884688878534,0.0008420383082334752
pass_yards_proxy_diff,0.0027904739,-0.002640044675281583,0.0014544586193417808
snaps_st_snaps_pct_change_diff,0.0076232357,-0.0029494340425676225,0.0007204762873311989
downs_rush1stpct_diff,0.0038081454,-0.0029851076877241978,0.004782748988256388
plays_diff,0.006650527,-0.0033716590667803416,0.0014906354379793268
snaps_offense_pct_rolling3_diff,0.0064075273,-0.0035105910963174614,0.002720126137166088
inj_practice_limited_pct_change_diff,0.003693345,-0.003515859236549357,0.0038184432602796897
rushing_ypc_diff,0.0033741766,-0.003924636827530237,0.00114592846138687
